Percentile,Latency (ms)
0.0,1.407
50.0,9.303
75.0,11.871
87.5,14.023
93.75,16.943
96.875,22.031
98.438,27.839
99.219,32.959
99.609,109.759
99.805,143.615
99.902,147.583
99.951,151.807
99.976,154.239
99.988,158.719
99.994,160.127
100.0,160.127
0.0,0.103
0.01,1.407
0.02,1.503
0.06,1.607
0.08,1.703
0.09,1.807
0.13,1.903
0.18,2.007
0.2,2.103
0.93,3.103
2.93,4.103
7.26,5.103
14.17,6.103
23.05,7.103
34.1,8.103
47.59,9.103
59.06,10.103
68.76,11.103
76.71,12.103
83.33,13.103
87.88,14.103
90.65,15.103
92.54,16.103
93.9,17.103
94.86,18.111
95.51,19.103
96.05,20.111
96.5,21.103
96.91,22.111
97.42,23.103
97.6,24.111
97.97,25.103
98.18,26.111
98.31,27.103
98.45,28.111
98.6,29.103
98.87,30.111
99.03,31.103
99.1,32.111
99.23,33.119
99.3,34.111
99.31,35.103
99.32,37.119
99.33,38.111
99.35,39.103
99.37,43.103
99.43,44.127
99.46,46.111
99.47,50.111
99.48,66.111
99.51,67.135
99.52,76.159
99.53,84.159
99.54,85.119
99.56,104.127
99.58,105.151
99.59,107.135
99.62,110.143
99.67,111.103
99.68,127.103
99.7,132.223
99.74,135.167
99.75,136.191
99.77,137.215
99.79,141.183
99.8,143.103
99.81,144.127
99.84,145.151
99.86,146.175
99.89,147.199
99.91,148.223
99.94,149.119
99.95,151.167
99.96,152.191
99.97,153.215
99.98,155.135
99.99,159.103
100.0,160.127
0.0,0.951
50.0,9.575
75.0,12.311
87.5,14.551
93.75,17.503
96.875,22.479
98.438,28.191
99.219,38.239
99.609,147.327
99.805,157.823
99.902,174.847
99.951,175.871
99.976,178.943
99.988,179.327
99.994,179.967
100.0,179.967
0.0,0.103
0.01,1.007
0.02,1.407
0.03,1.607
0.04,1.903
0.49,3.103
1.66,4.103
5.42,5.103
11.07,6.103
20.08,7.103
31.85,8.103
44.87,9.103
55.56,10.103
64.59,11.103
73.5,12.103
80.25,13.103
85.47,14.103
88.89,15.103
91.15,16.103
93.25,17.103
94.42,18.111
95.2,19.103
95.91,20.111
96.46,21.103
96.7,22.111
97.24,23.103
97.7,24.111
97.97,25.103
98.2,26.111
98.34,27.103
98.43,28.111
98.63,29.103
98.73,30.111
98.81,31.103
99.0,32.111
99.05,33.119
99.1,34.111
99.18,35.103
