Percentile,Latency (ms)
0.0,0.943
50.0,10.007
75.0,12.511
87.5,14.551
93.75,16.607
96.875,18.303
98.438,20.671
99.219,25.487
99.609,109.631
99.805,143.871
99.902,155.263
99.951,156.415
99.976,156.671
99.988,157.311
99.994,157.567
100.0,157.567
0.0,0.103
0.01,1.007
0.02,1.103
0.03,1.207
0.04,1.303
0.05,1.607
0.09,1.703
0.11,1.807
0.16,1.903
0.18,2.007
0.2,2.103
0.94,3.103
2.39,4.103
5.9,5.103
11.37,6.103
19.1,7.103
28.47,8.103
40.67,9.103
51.36,10.103
61.56,11.103
71.39,12.103
79.94,13.103
85.22,14.103
89.67,15.103
92.28,16.103
94.97,17.103
96.62,18.111
97.51,19.103
98.22,20.111
98.67,21.103
98.85,22.111
99.02,23.103
99.16,24.111
99.2,25.103
99.22,26.111
99.25,27.103
99.26,31.103
99.27,35.103
99.29,36.127
99.31,37.119
99.32,38.111
99.34,39.103
99.35,41.119
99.38,45.119
99.4,46.111
99.41,48.127
99.42,50.111
99.43,51.103
99.44,61.119
99.45,62.111
99.46,63.103
99.47,64.127
99.49,70.143
99.5,71.103
99.51,88.127
99.53,89.151
99.56,96.127
99.57,98.111
99.58,104.127
99.59,108.159
99.6,109.119
99.61,110.143
99.65,111.103
99.66,115.135
99.67,118.143
99.68,119.103
99.73,120.127
99.74,122.111
99.75,129.151
99.76,132.223
99.77,141.183
99.79,142.207
99.81,144.127
99.82,148.223
99.87,153.215
99.88,154.111
99.89,155.135
99.95,156.159
99.98,157.183
100.0,158.207
0.0,0.655
50.0,9.711
75.0,12.495
87.5,14.431
93.75,16.223
96.875,18.271
98.438,20.159
99.219,21.967
99.609,170.879
99.805,184.959
99.902,188.031
99.951,193.663
99.976,199.807
99.988,199.935
99.994,204.671
100.0,204.671
0.0,0.103
0.01,0.703
0.02,0.807
0.03,0.903
0.04,1.207
0.06,1.303
0.08,1.607
0.1,1.703
0.11,1.807
0.12,1.903
0.16,2.007
0.88,3.103
2.66,4.103
5.61,5.103
12.47,6.103
22.38,7.103
32.21,8.103
43.45,9.103
53.75,10.103
63.18,11.103
71.78,12.103
79.7,13.103
85.72,14.103
90.3,15.103
93.42,16.103
95.13,17.103
96.68,18.111
97.68,19.103
98.4,20.111
98.96,21.103
99.24,22.111
99.39,23.103
99.4,24.111
99.42,25.103
99.44,26.111
99.45,28.111
99.46,48.127
99.47,57.119
99.48,59.103
99.49,69.119
99.5,75.135
99.51,108.159
99.52,120.127
99.54,125.119
99.55,127.103
99.57,170.111
99.61,171.135
99.65,172.159
99.66,177.151
99.67,178.175
99.69,182.143
99.73,183.167
99.79,184.191
99.85,185.215
99.86,186.111
99.91,188.159
99.93,189.183
99.96,194.175
99.97,196.223
99.99,200.191
100.0,205.183
0.0,1.127
50.0,9.471
75.0,12.031
87.5,13.999
93.75,16.015
96.875,18.031
98.438,20.495
99.219,26.943
99.609,141.439
99.805,172.543
99.902,184.447
99.951,185.343
99.976,201.087
99.994,226.303
100.0,226.303
0.0,0.103
0.01,1.207
0.02,1.303
0.06,1.407
0.09,1.503
0.12,1.607
0.16,1.703
0.24,1.807
0.26,1.903
0.29,2.007
0.31,2.103
0.94,3.103
2.45,4.103
6.55,5.103
13.17,6.103
21.7,7.103
32.92,8.103
45.27,9.103
56.93,10.103
67.29,11.103
75.61,12.103
82.8,13.103
88.03,14.103
91.72,15.103
93.93,16.103
95.6,17.103
96.97,18.111
97.8,19.103
98.31,20.111
98.62,21.103
98.84,22.111
99.01,23.103
99.11,24.111
99.12,25.103
99.17,26.111
99.23,27.103
99.32,28.111
99.38,29.103
99.39,30.111
99.4,31.103
99.41,36.127
99.42,38.111
99.43,40.127
99.44,56.127
99.46,64.127
99.48,66.111
99.49,80.127
99.5,87.103
99.51,91.135
99.54,98.111
99.55,107.135
99.56,126.143
99.58,141.183
99.62,142.207
99.63,146.175
99.66,147.199
99.68,154.111
99.74,164.223
99.75,166.143
99.78,170.111
99.8,172.159
99.83,173.183
99.85,177.151
99.86,178.175
99.88,179.199
99.89,181.119
99.9,184.191
99.95,185.215
99.96,186.111
99.97,187.135
99.99,201.215
100.0,227.199
0.0,1.359
50.0,9.831
75.0,12.367
87.5,14.607
93.75,16.799
96.875,18.895
98.438,21.455
99.219,27.247
99.609,126.783
99.805,174.719
99.902,198.783
99.951,210.175
99.976,216.319
99.988,222.079
99.994,226.687
100.0,226.687
0.0,0.103
0.02,1.407
0.03,1.503
0.04,1.703
0.07,1.807
0.08,1.903
0.1,2.007
0.57,3.103
2.36,4.103
6.38,5.103
12.94,6.103
21.39,7.103
31.78,8.103
42.96,9.103
52.89,10.103
62.92,11.103
72.67,12.103
79.75,13.103
85.39,14.103
89.45,15.103
92.28,16.103
94.36,17.103
95.85,18.111
97.1,19.103
97.78,20.111
98.27,21.103
98.71,22.111
98.86,23.103
98.99,24.111
99.11,25.103
99.14,26.111
99.21,27.103
99.23,28.111
99.25,30.111
99.26,33.119
99.27,36.127
99.29,38.111
99.3,39.103
99.31,41.119
99.32,42.111
99.34,43.103
99.36,44.127
99.37,46.111
99.38,47.103
99.4,48.127
99.43,50.111
99.44,52.127
99.46,53.119
99.47,58.111
99.5,70.143
99.51,101.119
99.52,102.143
99.53,104.127
99.54,109.119
99.55,112.127
99.56,115.135
99.58,122.111
99.59,125.119
99.61,127.103
99.62,128.127
99.63,135.167
99.64,137.215
99.67,138.111
99.72,141.183
99.73,158.207
99.74,159.103
99.75,170.111
99.76,171.135
99.78,172.159
99.79,173.183
99.8,174.207
99.81,175.103
99.84,176.127
99.85,177.151
99.86,178.175
99.87,179.199
